id,user_id,date,start,end,moral1,moral2,moral3,moral4,moral5,moral6,moral7,sexual1,sexual2,sexual3,sexual4,sexual5,sexual6,sexual7,pathogen1,pathogen2,pathogen3,pathogen4,pathogen5,pathogen6,pathogen7
19,06d3d5fcebf0d0bed49ab763ba0cbc9b,2008-07-14,2008-07-14 17:14:05,2008-07-14 17:16:18,4,6,4,6,6,6,5,3,0,1,6,4,6,1,6,4,4,4,5,4,4
20,b121b23da987e7dbba0fc60fe45bf889,2008-07-14,2008-07-14 22:13:07,2008-07-14 22:14:48,6,6,2,6,6,6,6,5,0,0,3,2,3,6,6,4,4,5,5,6,6
21,c1c1c1ef862703bd16e01dc2d04bd042,2008-07-15,2008-07-15 04:21:07,2008-07-15 04:23:53,2,5,4,5,6,4,3,4,2,3,1,4,4,6,6,4,4,3,5,3,4
22,9087a55ae5ed340a68e0534f06b8a45a,2008-07-15,2008-07-15 07:09:10,2008-07-15 07:11:25,1,6,2,6,0,3,1,1,1,0,1,1,0,1,2,3,3,4,6,3,0
24,dd66fddc0a70beacbe76516be5a04f54,2008-07-15,2008-07-15 15:32:16,2008-07-15 15:34:24,4,5,3,5,4,5,5,2,0,2,0,2,1,1,3,6,3,3,4,3,6
25,7ede9088b83e6b80f056088d83bfbf98,2008-07-15,2008-07-15 22:33:31,2008-07-15 22:34:39,1,2,1,3,2,5,4,5,6,6,6,0,1,6,3,6,4,5,6,4,4
26,1e1000f28ee0660322f33da66a6110a3,2008-07-16,2008-07-16 00:41:59,2008-07-16 00:44:37,0,0,0,4,0,5,0,1,1,0,2,0,4,5,6,4,1,3,6,2,0
27,c077ac04a56b2de1d4d7de49d12d99a2,2008-07-16,2008-07-16 02:40:51,2008-07-16 02:43:26,1,4,1,3,1,4,4,1,1,1,2,5,5,6,6,3,5,3,5,3,6
28,237d5e9f4545dd8feba0652fa3802905,2008-07-16,2008-07-16 05:27:36,2008-07-16 05:28:58,0,2,4,5,1,4,2,1,0,0,2,0,6,0,3,3,1,5,1,6,2
29,f9a04440e4c540faca953827e678c371,2008-07-16,2008-07-16 05:45:27,2008-07-16 05:46:58,0,5,4,5,3,5,5,5,0,0,6,6,6,0,6,1,2,4,5,6,2
30,577f76cb901c183e3225167c9a3c9ab4,2008-07-16,2008-07-16 11:21:56,2008-07-16 11:24:44,3,5,5,3,5,3,1,4,0,1,5,4,5,1,6,6,6,2,6,5,5
31,b680829a3ae14abd559b206bf54c97ec,2008-07-16,2008-07-16 16:49:42,2008-07-16 16:51:27,1,6,3,3,6,3,3,2,2,0,0,3,6,6,6,6,6,6,6,3,3
32,086c0310ff4a23beb97ae6eed1fb0f92,2008-07-16,2008-07-16 17:13:18,2008-07-16 17:15:53,6,6,5,6,6,6,4,5,3,1,3,4,6,6,5,5,4,3,4,6,5
33,68a5cd8fb40e4bf7c84c1f19961e6bfd,2008-07-16,2008-07-16 20:51:02,2008-07-16 20:53:59,6,6,4,5,4,4,5,1,1,1,1,3,1,1,5,3,2,5,1,3,6
34,53c13f4f46d4015156fdae45ab90e06c,2008-07-16,2008-07-16 20:43:44,2008-07-16 20:57:04,4,6,4,6,6,6,5,0,0,1,3,3,3,1,6,5,6,6,6,6,6
35,490c4b731d9be7c195358f7bf3a6537b,2008-07-16,2008-07-16 21:36:57,2008-07-16 21:38:45,1,5,1,4,4,4,2,3,5,1,0,0,4,2,5,5,4,6,5,5,4
36,b1a2411a2944e4b356a9c7d2ba47265a,2008-07-16,2008-07-16 21:55:51,2008-07-16 21:58:28,4,5,6,5,6,6,6,0,0,0,1,0,0,0,3,0,1,3,4,0,0
37,6dca9a83628bd1998ffae1f56d0dcebd,2008-07-17,2008-07-17 04:09:24,2008-07-17 04:10:43,4,5,5,4,5,4,5,2,2,2,0,3,1,4,6,5,1,6,4,6,6
38,ebae9493e1d18ccd1105178c2ee6f650,2008-07-17,2008-07-17 05:18:17,2008-07-17 05:20:18,1,6,0,2,6,2,2,1,3,0,2,1,2,3,5,4,2,5,2,3,5
39,1e4e56405d8245bbcccbfcb327aedb7d,2008-07-17,2008-07-17 06:13:57,2008-07-17 06:19:30,4,6,6,5,4,6,3,0,2,1,4,2,6,6,6,3,6,2,6,6,4
40,63b33208d4426602304de72c3bd93eb1,2008-07-17,2008-07-17 14:05:56,2008-07-17 14:09:28,3,4,3,5,6,4,5,2,0,0,2,2,0,0,4,4,3,4,4,2,3
41,3d66c709c376d46107dee4c29e5a56e1,2008-07-17,2008-07-17 23:45:19,2008-07-17 23:51:07,4,4,2,5,5,6,1,5,1,6,6,0,6,6,6,4,4,5,5,5,6
42,3d66c709c376d46107dee4c29e5a56e1,2008-07-17,2008-07-17 23:51:36,2008-07-17 23:53:34,3,4,4,4,5,3,3,0,0,0,0,0,5,4,6,6,5,6,6,4,6
43,8b93114ee420e1950f3e52d52067c0b5,2008-07-18,2008-07-18 03:14:13,2008-07-18 03:18:48,0,0,0,0,0,0,0,1,1,1,2,1,1,3,5,0,3,6,2,6,1
44,6a8c8654ca65d2a326342fba310b0e34,2008-07-18,2008-07-18 03:52:17,2008-07-18 03:55:21,2,5,5,4,5,6,4,6,0,1,0,3,6,1,4,2,5,2,3,4,5
45,a39dfc8454f2550001bc69bb9543b0d0,2008-07-18,2008-07-18 04:56:31,2008-07-18 04:57:55,4,4,3,3,4,5,2,2,0,0,3,0,0,0,6,4,1,4,3,6,1
46,d3eb56e84a5fe22682187981860e5d47,2008-07-18,2008-07-18 08:15:49,2008-07-18 08:19:13,5,6,3,5,2,2,2,2,3,2,2,6,3,5,5,5,1,4,5,6,2
47,1d4bbd041d45142a3196da9175e9e9f9,2008-07-18,2008-07-18 08:34:09,2008-07-18 08:36:53,6,6,0,6,6,6,0,0,0,0,0,0,6,0,4,2,2,6,6,6,0
48,20682a1b75770683c8e0dadfeded6367,2008-07-18,2008-07-18 20:40:25,2008-07-18 20:43:15,3,3,4,6,6,0,3,1,0,0,6,6,4,0,6,5,2,4,6,6,6
49,e000e31b9f865ca6bbc4477b70ffc0c9,2008-07-18,2008-07-18 21:26:12,2008-07-18 21:28:22,0,4,2,4,1,5,2,2,0,2,2,0,1,0,6,2,4,2,5,5,3
50,db674371f4bbc16a0a63fca6783eb0cd,2008-07-18,2008-07-18 23:22:32,2008-07-18 23:24:45,5,6,6,5,6,6,5,0,0,0,4,3,1,0,5,6,4,3,6,5,6
51,42352acd3993e18bd31c7ec1dd230943,2008-07-19,2008-07-19 06:49:42,2008-07-19 06:51:21,1,3,2,5,3,2,1,2,0,0,4,5,2,0,6,3,1,5,2,5,2
52,328de2fdabf2dc3e1111bfc0c1ea0b63,2008-07-19,2008-07-19 15:03:11,2008-07-19 15:09:23,5,5,1,5,2,1,2,1,1,1,0,3,5,0,6,4,4,1,4,4,3
53,2c14d62ca2edf3e1c1fdc021c738acbf,2008-07-19,2008-07-19 22:03:34,2008-07-19 22:08:29,4,4,4,4,4,4,3,1,0,0,3,2,3,0,4,2,1,4,4,4,5
54,883c8115914d79fdbc33137662775a6d,2008-07-20,2008-07-20 03:21:13,2008-07-20 03:22:20,3,6,3,6,6,6,3,3,0,0,6,3,6,2,6,3,5,4,5,6,5
55,ae4cc62e6fe49fef0434c2605181aa34,2008-07-20,2008-07-20 04:55:07,2008-07-20 04:57:09,2,2,1,6,6,4,4,4,1,4,3,3,5,0,6,5,4,4,5,6,3
56,acc8fc3b87e9b339507b9967c0311440,2008-07-20,2008-07-20 07:53:04,2008-07-20 07:54:46,2,4,5,5,3,2,3,1,0,0,4,0,5,0,4,4,0,4,4,2,4
57,a1b4824dec42cfc3049201ef234f7037,2008-07-21,2008-07-21 02:29:11,2008-07-21 02:30:44,2,2,0,3,1,2,1,3,2,2,5,0,1,5,6,2,3,6,4,6,6
58,9468d7ffa0a031ca25ac3405e40b810d,2008-07-21,2008-07-21 11:46:34,2008-07-21 11:49:46,5,6,4,5,4,6,3,0,1,1,0,0,0,2,5,5,4,5,5,5,4
59,4fd88a5b73495c7820fcef2aeebd865a,2008-07-21,2008-07-21 17:13:42,2008-07-21 17:17:34,3,4,5,4,4,2,3,5,4,5,3,6,5,6,4,1,1,4,2,3,1
60,0e5a630c765ace71c8909d76b7bcfeca,2008-07-21,2008-07-21 17:21:35,2008-07-21 17:23:32,2,6,3,5,0,1,6,1,0,0,0,0,6,0,4,6,2,6,5,5,6
61,aa95686952374b6a236a0fa2d74e7276,2008-07-21,2008-07-21 20:27:56,2008-07-21 20:31:19,3,6,1,6,4,5,6,0,0,2,4,1,5,4,4,3,4,4,4,4,4
62,de4c444e30b08cba2f0a8da73dca0ddf,2008-07-21,2008-07-21 21:38:55,2008-07-21 21:40:44,4,5,3,5,2,5,2,1,4,0,1,1,5,4,5,3,1,1,4,4,4
63,4c83d7ab8212429bad259dcf6cf6da27,2008-07-22,2008-07-22 01:43:44,2008-07-22 01:46:48,5,6,3,6,3,5,6,1,0,2,5,4,3,4,3,4,3,2,5,3,5
64,2546d94bd3731a8796f34e23a8f05116,2008-07-22,2008-07-22 09:48:49,2008-07-22 09:52:19,3,6,0,6,3,0,6,0,3,0,6,0,6,0,3,6,6,6,6,0,6
65,9397505a102e489e0cef88b4c3804c05,2008-07-22,2008-07-22 18:19:39,2008-07-22 18:23:49,6,6,6,6,6,4,0,3,0,0,5,5,2,0,4,4,3,3,6,6,0
66,ff904dff22346fcfc6564c5ccea0dd23,2008-07-22,2008-07-22 20:42:03,2008-07-22 20:42:14,,,,,,,,,,,,,,,,,,,,,
67,ff904dff22346fcfc6564c5ccea0dd23,2008-07-22,2008-07-22 20:53:11,2008-07-22 20:53:47,3,4,2,0,4,2,2,4,1,2,2,2,,4,2,2,4,4,2,1,4
68,ab6cc73414607a29cb23ada1bf1f619f,2008-07-22,2008-07-22 21:21:49,2008-07-22 21:23:24,0,0,0,2,0,2,1,0,0,0,0,0,1,1,1,2,0,4,1,1,1
69,3be0681b57832981de392936054c8441,2008-07-22,2008-07-22 22:17:03,2008-07-22 22:18:56,0,4,0,4,1,1,3,1,0,0,1,2,1,6,4,3,4,2,5,4,6
70,02aa0439132dc12dd3636a45696ab3a6,2008-07-22,2008-07-22 22:17:25,2008-07-22 22:19:34,6,6,6,6,0,6,6,0,0,0,6,0,6,6,6,6,6,6,6,3,6
71,4c6721c9c3668c94e6a1476607eeba26,2008-07-22,2008-07-22 22:17:47,2008-07-22 22:19:45,3,5,2,5,3,2,3,4,3,3,3,5,5,6,5,3,3,6,5,3,3
72,7fe2c33b489c7bc5936f00761a1dfd34,2008-07-22,2008-07-22 22:18:29,2008-07-22 22:20:58,0,6,1,6,6,0,6,3,0,0,5,0,6,6,6,6,5,0,6,3,6
73,8103c323661bc01b7438e9699850f2c9,2008-07-22,2008-07-22 22:17:47,2008-07-22 22:21:33,0,3,1,1,1,0,3,6,6,6,6,6,3,6,6,5,6,6,6,6,5
74,a82f79b0c7a950f50bfca04bb5bdee67,2008-07-22,2008-07-22 22:19:27,2008-07-22 22:21:33,2,3,4,5,3,3,4,5,1,1,5,4,6,6,5,5,4,5,6,4,5
75,1d2cd2117a358a6bb052a6251a62ec59,2008-07-22,2008-07-22 22:18:53,2008-07-22 22:21:36,1,4,6,2,1,0,0,0,0,0,3,1,5,5,3,5,4,6,2,6,6
76,c26664cc15cbbf28495b8bd1c612d060,2008-07-22,2008-07-22 22:20:05,2008-07-22 22:21:36,4,4,5,5,4,5,5,6,5,5,5,6,6,5,6,5,5,4,5,6,5
77,24256ee2ad0fd4b27307d1cac78759e2,2008-07-22,2008-07-22 22:18:52,2008-07-22 22:21:38,6,6,6,5,6,6,6,6,4,3,6,5,6,6,6,5,6,6,6,6,6
78,dec10114684838c269cd831b15675879,2008-07-22,2008-07-22 22:19:07,2008-07-22 22:21:50,0,1,0,0,0,0,0,3,0,3,6,1,2,4,6,6,6,6,6,0,6
79,8ca0fabfe739dd3c99ea8a4b245bd4bb,2008-07-22,2008-07-22 22:20:15,2008-07-22 22:22:03,2,0,6,2,4,4,4,0,0,0,4,0,0,0,4,3,0,0,4,2,4
80,f25801d5145457d3608b07fd4f7d956b,2008-07-22,2008-07-22 22:19:25,2008-07-22 22:22:28,0,1,1,3,2,0,1,6,6,6,6,6,6,6,6,6,6,6,4,2,6
81,78210efd291acb5a407ccf84780dd3af,2008-07-22,2008-07-22 22:18:57,2008-07-22 22:22:32,4,5,3,6,6,0,5,6,6,4,5,2,3,5,6,6,2,6,5,6,6
82,8e76f65c597f49ae46f5578046be4151,2008-07-22,2008-07-22 22:19:04,2008-07-22 22:22:47,0,5,6,6,6,3,6,0,0,0,0,1,1,6,6,2,6,6,6,6,6
83,0dd87256cf6c66a72bf741d34e0359bd,2008-07-22,2008-07-22 22:19:58,2008-07-22 22:22:49,4,5,1,3,1,1,3,5,5,5,6,5,3,6,4,6,5,1,5,3,6
84,842871fec4358a3c7d055495d2e9dd9c,2008-07-22,2008-07-22 22:18:58,2008-07-22 22:22:50,5,6,1,6,6,4,1,0,0,0,0,0,0,2,6,6,5,5,6,4,6
85,c7de09c22c490701e9ee9baaa57a3816,2008-07-22,2008-07-22 22:20:32,2008-07-22 22:22:55,1,4,3,4,0,1,4,1,0,1,0,6,6,6,4,2,1,0,3,5,0
86,2e463f40fa96380f2500666532a75822,2008-07-22,2008-07-22 22:21:18,2008-07-22 22:23:03,4,5,4,4,6,3,6,6,1,3,4,6,3,1,6,4,2,6,5,5,6
87,51daebcec2f89a0928cdb964397f7299,2008-07-22,2008-07-22 22:21:01,2008-07-22 22:23:56,6,6,6,6,2,2,3,1,3,0,3,0,6,1,6,6,3,6,6,2,5
88,8e5618b49dfe04d88fb1c8675cd606dc,2008-07-22,2008-07-22 22:21:45,2008-07-22 22:25:05,6,4,6,0,4,0,4,0,0,0,5,0,0,6,6,6,6,6,6,6,6
89,e7571a08c917dc8db483e122d92a523e,2008-07-22,2008-07-22 22:23:53,2008-07-22 22:25:10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,1,1,6,3
90,a1f9b1bb7f39eb498d20219aa339db2c,2008-07-22,2008-07-22 22:24:34,2008-07-22 22:26:43,5,5,5,3,6,4,5,6,2,3,6,6,6,6,6,4,6,6,6,4,5
91,a633ddbdbddf6ccb93fcadab3e28a5a7,2008-07-22,2008-07-22 22:28:24,2008-07-22 22:32:50,0,2,5,5,2,1,5,2,2,2,1,6,2,3,5,3,4,5,5,5,3
92,72bc40d2d6dffbde3fdfb647efeea5fa,2008-07-23,2008-07-23 04:42:04,2008-07-23 04:43:36,6,6,5,6,5,3,6,6,6,6,6,6,6,6,3,5,6,6,6,3,6
93,afd27ad68052c4820dabb9bab839f4f3,2008-07-23,2008-07-23 08:24:56,2008-07-23 08:27:35,0,0,0,0,0,0,0,1,2,1,2,2,2,3,5,3,2,4,3,6,5
94,25b066b97f6c21891a4f52efe650999d,2008-07-23,2008-07-23 09:47:00,2008-07-23 09:50:03,6,6,6,6,6,6,6,1,0,0,5,1,2,0,6,6,1,4,6,6,5
95,d64531554f11f2ab616bd419b82eb539,2008-07-23,2008-07-23 15:41:31,2008-07-23 15:43:21,3,5,4,3,3,5,5,5,4,4,5,5,6,6,3,4,4,4,2,4,5
96,7638fc01c214da1ba99fd52a465335f6,2008-07-23,2008-07-23 17:47:52,2008-07-23 17:50:21,6,6,5,4,6,1,6,2,0,0,5,6,5,0,4,6,6,6,4,4,0
97,15ef3bd9e224117b4e3cd2b2cc185c5d,2008-07-23,2008-07-23 18:35:14,2008-07-23 18:36:38,2,4,5,3,5,4,4,2,2,2,3,2,4,5,3,4,2,0,5,1,4
98,13d46c47b53bb230acf81d3da3a35db9,2008-07-23,2008-07-23 21:28:20,2008-07-23 21:29:41,2,3,3,4,2,5,3,5,,3,5,1,5,1,4,2,3,3,4,1,1
99,22c33addd6a756abf5393b599f6a7c11,2008-07-23,2008-07-23 23:10:47,2008-07-23 23:17:48,1,6,2,6,6,3,6,1,0,0,2,0,6,6,6,6,4,5,6,6,4
100,40a033a77956b30557388b3cf644b2e1,2008-07-24,2008-07-24 01:36:42,2008-07-24 01:39:28,0,3,3,3,3,4,3,3,3,0,2,1,3,3,5,4,4,6,6,3,5
101,1212f6652256d218fc152ac76c71b744,2008-07-24,2008-07-24 09:30:10,2008-07-24 09:31:38,6,6,6,6,6,6,6,6,5,6,6,,5,6,5,2,3,3,4,2,2
102,1efc8b490f07c85692a99c349760202e,2008-07-24,2008-07-24 09:59:14,2008-07-24 10:02:53,6,6,5,5,5,4,6,6,2,5,6,3,1,5,5,3,6,2,5,3,3
103,2d7d5ea4f2f4196d60f5aa0f4648180a,2008-07-24,2008-07-24 18:16:56,2008-07-24 18:19:10,1,1,0,5,0,0,2,0,0,4,0,0,1,1,4,2,1,1,1,0,2
104,752cc0a2cab52b3cb017ac79f0d31ae1,2008-07-24,2008-07-24 21:20:36,2008-07-24 21:22:32,6,6,6,6,6,6,5,1,0,0,1,1,5,0,3,1,2,1,2,0,2
105,d1101c67bed045cd4ea3e915375a5cee,2008-07-24,2008-07-24 22:11:41,2008-07-24 22:13:07,2,3,3,4,2,3,2,3,0,0,1,0,2,0,6,3,3,5,4,5,2
106,54d194454d95ffbc7512f31bd0de0d9c,2008-07-25,2008-07-25 00:14:32,2008-07-25 00:16:16,2,4,1,6,4,6,4,2,0,0,0,2,0,0,5,5,4,4,6,5,5
107,ad2f75e01ecf0c2c395a838fb38311c6,2008-07-25,2008-07-25 01:32:55,2008-07-25 01:34:25,1,4,1,5,3,0,3,2,0,0,1,2,1,1,2,2,3,4,5,4,4
108,e2c937f2fafec703f5efc00e03362d7d,2008-07-25,2008-07-25 01:33:41,2008-07-25 01:35:47,6,6,6,6,2,5,6,6,3,5,6,6,6,6,6,5,5,6,6,6,4
109,4f69d087a26c04d971102b8886275f9c,2008-07-25,2008-07-25 01:33:32,2008-07-25 01:36:47,5,6,4,4,6,3,6,6,6,6,3,6,5,6,6,6,6,6,6,6,5
110,e4987728e867943218f261f3e8e13463,2008-07-25,2008-07-25 01:35:25,2008-07-25 01:37:23,2,4,4,3,4,3,3,4,1,2,2,6,6,6,4,4,4,5,5,4,3
111,832661839c5c4bc312ccdd4de3af37d1,2008-07-25,2008-07-25 01:35:38,2008-07-25 01:37:47,3,4,4,5,5,4,2,2,3,1,3,4,5,5,5,5,4,5,5,5,5
112,296c69aeb078bfb263ec91ae74ed50df,2008-07-25,2008-07-25 01:35:20,2008-07-25 01:38:13,5,6,2,6,2,6,5,4,1,0,0,5,1,6,6,4,3,6,6,4,6
113,e8723af6efdde10182cc5ba624671f98,2008-07-25,2008-07-25 01:35:04,2008-07-25 01:38:15,3,6,4,1,4,3,6,4,0,0,0,0,0,0,4,1,1,2,6,1,4
114,aa565b3874e29e33bc3dea3c6cfa0f85,2008-07-25,2008-07-25 01:34:55,2008-07-25 01:38:21,0,6,3,6,6,3,2,0,0,0,0,2,6,3,6,0,6,6,6,6,6
115,53be41996f1b0bc801b9e8e69682c664,2008-07-25,2008-07-25 01:38:44,2008-07-25 01:40:23,0,6,1,,6,0,6,6,0,0,6,0,6,0,6,0,6,0,6,6,6
116,7121cafd94c5af8e56c692dcd15524b2,2008-07-25,2008-07-25 01:38:05,2008-07-25 01:40:28,5,6,5,6,6,1,6,5,0,0,5,5,6,6,5,2,2,1,5,0,5
117,ce37805aaa159d40ef15881863fbf040,2008-07-25,2008-07-25 03:24:09,2008-07-25 03:26:15,5,5,4,5,5,4,5,5,0,1,2,2,5,0,4,2,2,3,3,3,5
118,16b11da5d1c690c459b3a189b843758b,2008-07-25,2008-07-25 05:25:05,2008-07-25 05:26:49,3,2,2,4,5,1,3,2,2,0,3,4,5,2,4,3,1,4,4,4,3
119,b5af71729c4f25da0bad010cc35b4db0,2008-07-25,2008-07-25 09:24:32,2008-07-25 09:26:04,3,4,4,5,4,5,3,3,2,1,6,3,5,2,4,4,2,4,2,3,5
120,748cdd270787d8538923e6a831872bfa,2008-07-25,2008-07-25 09:30:19,2008-07-25 09:32:59,1,3,1,0,0,0,0,1,1,1,5,0,5,5,1,3,4,2,5,2,0
121,d91cfc4c0365485921cf77d0d72e370a,2008-07-25,2008-07-25 09:46:19,2008-07-25 09:47:54,3,3,3,3,1,2,2,4,0,1,5,1,0,2,3,,2,6,6,4,5
122,20c048cd0fe09841465f845de9ab7d1e,2008-07-25,2008-07-25 11:28:13,2008-07-25 11:29:43,2,5,2,4,5,5,5,2,0,0,5,3,3,6,4,0,4,4,4,4,5
123,c4492f16a6efb268cf08df2571deeeb8,2008-07-25,2008-07-25 17:13:21,2008-07-25 17:16:00,1,4,1,3,1,4,5,4,5,1,3,1,1,6,6,4,6,6,5,6,6
124,3220d28497004377357c01f6ff7d8df2,2008-07-26,2008-07-26 00:46:45,2008-07-26 00:48:19,2,2,1,2,4,2,3,5,1,1,4,2,2,6,4,5,3,1,5,3,1
125,84587d920f1483363ffcd91011538b56,2008-07-26,2008-07-26 05:47:27,2008-07-26 05:49:04,2,4,5,6,2,3,2,2,0,6,3,6,4,1,6,2,2,1,4,3,3
126,15ed20737d5e14e7034c1070184a5717,2008-07-26,2008-07-26 07:47:23,2008-07-26 07:49:57,3,2,1,4,1,3,3,0,1,0,4,2,0,1,3,2,1,3,4,1,1
127,b1397d15952009aa19c1d7ec7dc8394d,2008-07-26,2008-07-26 08:53:11,2008-07-26 08:54:43,4,5,3,5,4,4,5,3,5,4,5,5,5,5,4,4,4,6,6,5,4
128,9b909f14e5c94ee54d839b2d20d93316,2008-07-26,2008-07-26 18:46:54,2008-07-26 18:49:19,6,6,5,6,6,6,4,1,1,0,2,0,0,0,6,5,4,6,6,5,3
129,4a180b3d2bb1dacd3a7dfca31db29643,2008-07-26,2008-07-26 22:51:49,2008-07-26 22:53:27,3,6,1,6,5,4,4,1,0,0,4,2,2,1,5,3,1,3,1,4,2
130,dea3ad4375301749b531f94c2104f4ad,2008-07-27,2008-07-27 01:46:38,2008-07-27 01:50:24,3,6,0,3,5,4,6,3,0,2,6,3,3,1,2,3,4,3,2,6,4
131,5041e91782c2eb22109255c83035a85b,2008-07-27,2008-07-27 04:51:47,2008-07-27 04:53:41,6,6,6,6,6,6,5,3,3,5,6,6,5,6,5,4,5,5,5,5,4
132,cf3a40cbb886ac1c0ce3bc3f5b3ad3ca,2008-07-27,2008-07-27 06:04:25,2008-07-27 06:06:58,6,6,2,6,4,5,4,1,0,4,0,5,4,2,4,3,3,4,5,6,4
133,397ebfc7352d10b0dac1a3ace05720d4,2008-07-27,2008-07-27 12:41:49,2008-07-27 12:43:47,1,2,3,2,1,2,2,3,0,0,2,0,4,5,4,5,3,4,5,4,5
134,35ce57f1350d7bddaa08f78bc389a27e,2008-07-27,2008-07-27 15:21:24,2008-07-27 15:23:22,0,2,1,1,2,1,3,5,5,4,4,3,6,2,6,3,3,6,6,5,5
135,afb11278d39bd7c846ecf3b27bd64875,2008-07-28,2008-07-28 02:10:09,2008-07-28 02:13:23,2,5,4,5,5,5,5,0,1,0,3,3,6,0,5,6,4,2,5,5,4
136,6593a7c9475eaf2becfb1e2d4abc8f06,2008-07-28,2008-07-28 04:47:20,2008-07-28 04:48:51,0,6,5,5,1,4,4,4,4,6,0,6,6,1,6,3,5,1,3,6,4
137,38ec25760b55104f99e73216ace3afd8,2008-07-28,2008-07-28 04:59:33,2008-07-28 05:02:29,1,4,1,6,4,2,4,1,3,1,3,4,5,6,4,5,1,1,6,4,3
138,6d82e02ef929305dbd1f5b03a2d73e4b,2008-07-28,2008-07-28 09:53:38,2008-07-28 09:56:27,0,1,1,3,6,0,1,0,0,0,0,2,3,2,6,6,2,5,5,5,4
139,54082950c8cd3464aa934860dd874841,2008-07-28,2008-07-28 12:10:31,2008-07-28 12:13:27,4,5,5,5,5,5,5,2,5,3,4,5,5,4,4,4,2,5,4,4,4
140,a8d9f5b2848fe5d7591ac53c17ce0fe6,2008-07-28,2008-07-28 14:42:12,2008-07-28 14:43:54,6,6,5,6,6,5,6,0,0,0,1,0,0,0,5,5,3,5,4,3,5
141,04ccdd38e9837fbd0fa5b3bdabb42195,2008-07-28,2008-07-28 16:44:49,2008-07-28 16:47:39,2,3,3,4,4,5,2,1,1,1,5,1,1,2,5,3,4,5,6,4,3
142,27734cb32c429f97d7ced4f4e9377e09,2008-07-28,2008-07-28 17:08:34,2008-07-28 17:11:39,1,5,6,0,4,5,5,1,1,0,3,0,1,1,1,4,6,1,6,6,0
